SNR (dB),P(fail)
0.0,0.999999999998
0.01,0.999999999976
0.02,0.999999999766
0.03,0.999999997934
0.04,0.999999983608
0.05,0.999999883217
0.06,0.999999254546
0.07,0.999995745972
0.08,0.999978342055
0.09,0.999901816312
0.1,0.999604340775
0.11,0.998584758494
0.12,0.995511698721
0.13,0.987387976761
0.14,0.968601720964
0.15,0.930696280126
0.16,0.864134621808
0.17,0.762672456653
0.18,0.628751179046
0.19,0.476071473273
0.2,0.326091355888
0.21,0.19945586775
0.22,0.107768320174
0.23,0.0509775018771
0.24,0.0209544438161
0.25,0.0074382578921
0.26,0.00226806086229
0.27,0.000591329375074
0.28,0.000131292820728
0.29,2.47357743855e-05
0.3,3.94159008727e-06
0.31,5.29652105587e-07
0.32,5.9854544347e-08
0.33,5.67401354183e-09
0.34,4.50135614846e-10
0.35,2.98189786929e-11
0.36,1.64600497255e-12
0.37,7.55615584105e-14
0.38,2.87931431887e-15
0.39,9.09123505081e-17
0.4,2.37446561263e-18
0.41,5.12170315076e-20
0.42,9.10949403508e-22
0.43,1.33400533564e-23
0.44,1.60612623084e-25
0.45,1.58765467247e-27
0.46,1.28676475495e-29
0.47,8.53955674516e-32
0.48,4.63448500596e-34
0.49,2.05419563721e-36
0.5,7.42684434773e-39
0.51,2.18744625654e-41
0.52,5.24186789004e-44
0.53,1.02067723923e-46
0.54,1.61276753066e-49
0.55,2.06513663706e-52
0.56,2.13999960223e-55
0.57,1.79200105031e-58
0.58,1.21078748734e-61
0.59,6.59049187629e-65
0.6,2.88515347712e-68
0.61,1.01406100161e-71
0.62,2.85630332599e-75
0.63,6.43494858962e-79
0.64,1.15715775466e-82
0.65,1.65729685473e-86
0.66,1.88610442611e-90
0.67,1.70148064928e-94
0.68,1.21355641369e-98
0.69,6.82456869167e-103
0.7,3.01727871289e-107
0.71,1.04556948523e-111
0.72,2.83065636315e-116
0.73,5.96681853083e-121
0.74,9.75815633094e-126
0.75,1.23347748919e-130
0.76,1.2003897852e-135
0.77,8.9567092055e-141
0.78,5.10192950952e-146
0.79,2.20861975037e-151
0.8,7.2320887293e-157
0.81,1.78251337241e-162
0.82,3.29011793131e-168
0.83,4.5237210065e-174
0.84,4.60780360578e-180
0.85,3.45720786437e-186
0.86,1.89941947015e-192
0.87,7.59488054237e-199
0.88,2.19622205484e-205
0.89,4.5629586373e-212
0.9,6.76550294814e-219
0.91,7.10907471714e-226
0.92,5.25616280252e-233
0.93,2.7142941916e-240
0.94,9.71566436755e-248
0.95,2.39852605776e-255
0.96,0.0
0.97,0.0
0.98,0.0
0.99,0.0
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
