SNR (dB),P(fail)
0.0,0.99999992473
0.01,0.999999532186
0.02,0.999997378309
0.03,0.999986782147
0.04,0.999940175893
0.05,0.9997574174
0.06,0.999120305673
0.07,0.997151407081
0.08,0.991772860756
0.09,0.978821830727
0.1,0.951412000043
0.11,0.900568256504
0.12,0.818141766619
0.13,0.701684508293
0.14,0.558691992333
0.15,0.406536183732
0.16,0.266616281865
0.17,0.155729460603
0.18,0.0802044340922
0.19,0.0361163350498
0.2,0.0141180336145
0.21,0.00476136138131
0.22,0.00137794417219
0.23,0.000340559480641
0.24,7.1570708039e-05
0.25,1.27390956366e-05
0.26,1.91342156203e-06
0.27,2.41692619821e-07
0.28,2.55914474152e-08
0.29,2.26451840623e-09
0.3,1.66970482063e-10
0.31,1.02299678611e-11
0.32,5.19416627922e-13
0.33,2.17993834864e-14
0.34,7.54359920718e-16
0.35,2.1472094186e-17
0.36,5.01556898168e-19
0.37,9.59257683443e-21
0.38,1.49888116804e-22
0.39,1.90936769768e-24
0.4,1.97879068371e-26
0.41,1.66501130515e-28
0.42,1.13522019259e-30
0.43,6.25956684451e-33
0.44,2.78599339244e-35
0.45,9.99010557607e-38
0.46,2.88075545306e-40
0.47,6.66788239785e-43
0.48,1.23656648591e-45
0.49,1.83399698294e-48
0.5,2.17136391526e-51
0.51,2.04840137238e-54
0.52,1.53685339966e-57
0.53,9.15289843141e-61
0.54,4.31868251367e-64
0.55,1.61119458326e-67
0.56,4.74310437268e-71
0.57,1.09946562729e-74
0.58,2.00244129485e-78
0.59,2.85901646833e-82
0.6,3.19251279886e-86
0.61,2.78128286787e-90
0.62,1.88557933868e-94
0.63,9.92137142229e-99
0.64,4.04028341591e-103
0.65,1.2696776977e-107
0.66,3.06961512518e-112
0.67,5.69096632872e-117
0.68,8.06371459101e-122
0.69,8.70154223635e-127
0.7,7.12460652473e-132
0.71,4.40904738653e-137
0.72,2.05392749183e-142
0.73,7.17196877529e-148
0.74,1.86886616773e-153
