SNR (dB),P(fail)
0.0,1.0
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,0.999999999997
0.08,0.999999999961
0.09,0.999999999604
0.1,0.999999996378
0.11,0.999999970454
0.12,0.999999785736
0.13,0.999998621063
0.14,0.999992138344
0.15,0.999960357297
0.16,0.999823441656
0.17,0.999306258409
0.18,0.997597058106
0.19,0.992665680136
0.2,0.980270289165
0.21,0.953182119781
0.22,0.901818045339
0.23,0.817473801601
0.24,0.697759207187
0.25,0.55115771899
0.26,0.396540301635
0.27,0.256335744904
0.28,0.147209096888
0.29,0.0744189404651
0.3,0.0328735210546
0.31,0.0126132376356
0.32,0.00418317130767
0.33,0.00119435617082
0.34,0.000292582443582
0.35,6.13211842363e-05
0.36,1.0968839728e-05
0.37,1.67102349465e-06
0.38,2.16410205162e-07
0.39,2.37873354461e-08
0.4,2.21599560404e-09
0.41,1.74742940492e-10
0.42,1.16506801264e-11
0.43,6.56129487026e-13
0.44,3.11835660172e-14
0.45,1.24971431467e-15
0.46,4.22016363487e-17
0.47,1.20003872077e-18
0.48,2.87175090874e-20
0.49,5.78018412205e-22
0.5,9.78032235578e-24
0.51,1.39048227853e-25
0.52,1.66023462726e-27
0.53,1.6640202038e-29
0.54,1.39934391664e-31
0.55,9.86853513535e-34
0.56,5.8333584827e-36
0.57,2.88857300193e-38
0.58,1.19753743068e-40
0.59,4.15389533828e-43
0.6,1.20469069244e-45
0.61,2.91884602086e-48
0.62,5.90323194913e-51
0.63,9.95635812266e-54
0.64,1.39891089088e-56
0.65,1.63553474693e-59
0.66,1.58913969003e-62
0.67,1.28143707776e-65
0.68,8.56270004877e-69
0.69,4.73358263736e-72
0.7,2.16103710939e-75
0.71,8.13190165165e-79
0.72,2.51697844735e-82
0.73,6.39377838966e-86
0.74,1.32981513661e-89
0.75,2.25878922552e-93
0.76,3.12489181221e-97
0.77,3.51092141587e-101
0.78,3.19383952684e-105
0.79,2.34485636185e-109
0.8,1.38471885025e-113
0.81,6.55398581122e-118
0.82,2.47701830473e-122
0.83,7.44627032635e-127
0.84,1.77322920787e-131
0.85,3.33090758699e-136
0.86,4.91373247607e-141
0.87,5.66650994014e-146
0.88,5.08397517496e-151
