SNR (dB),P(fail)
0.0,1.0
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,0.999999999998
0.07,0.999999999978
0.08,0.999999999769
0.09,0.999999997843
0.1,0.999999981997
0.11,0.999999866201
0.12,0.999999116394
0.13,0.999994824485
0.14,0.999973158979
0.15,0.999876933372
0.16,0.999501772516
0.17,0.99822071947
0.18,0.994397981801
0.19,0.984450959003
0.2,0.961929536644
0.21,0.917652778781
0.22,0.842222175433
0.23,0.731087977964
0.24,0.589757531473
0.25,0.434913387022
0.26,0.289021080719
0.27,0.17102135159
0.28,0.0892316441647
0.29,0.0407285577256
0.3,0.0161586388359
0.31,0.00554317114176
0.32,0.00163709911426
0.33,0.00041473903215
0.34,8.98496065806e-05
0.35,1.66014170012e-05
0.36,2.61011384453e-06
0.37,3.48481791834e-07
0.38,3.94394157119e-08
0.39,3.77763610185e-09
0.4,3.05796128489e-10
0.41,2.08935504332e-11
0.42,1.20354400346e-12
0.43,5.8388868878e-14
0.44,2.38345597559e-15
0.45,8.17937466514e-17
0.46,2.35790983689e-18
0.47,5.70575752965e-20
0.48,1.15820541943e-21
0.49,1.97092052903e-23
0.5,2.80997640125e-25
0.51,3.35455269894e-27
0.52,3.35134154479e-29
0.53,2.80033417586e-31
0.54,1.95596094858e-33
0.55,1.14133887218e-35
0.56,5.56041054441e-38
0.57,2.26024352188e-40
0.58,7.66052447246e-43
0.59,2.16317579575e-45
0.6,5.0851368239e-48
0.61,9.94275723248e-51
0.62,1.61541732364e-53
0.63,2.17859958951e-56
0.64,2.43603233336e-59
0.65,2.25555488919e-62
0.66,1.72699276503e-65
0.67,1.09180120118e-68
0.68,5.68991619036e-72
0.69,2.44012532839e-75
0.7,8.59480242465e-79
0.71,2.48134520309e-82
0.72,5.85882299984e-86
0.73,1.12870976646e-89
0.74,1.76974400988e-93
0.75,2.25232818091e-97
0.76,2.32012121916e-101
0.77,1.92858614205e-105
0.78,1.28953833284e-109
0.79,6.91256071893e-114
0.8,2.96019501833e-118
0.81,1.00894983444e-122
0.82,2.72647557489e-127
0.83,5.81774578791e-132
0.84,9.7609134305e-137
0.85,1.28201564474e-141
0.86,1.3121117534e-146
0.87,1.04148569063e-151
0.88,6.37960627438e-157
