SNR (dB),P(fail)
0.0,1.0
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,0.999999999999
0.06,0.999999999988
0.07,0.999999999867
0.08,0.999999998733
0.09,0.999999989181
0.1,0.999999917638
0.11,0.999999442084
0.12,0.999996643733
0.13,0.999982101816
0.14,0.999915525782
0.15,0.999647631429
0.16,0.998702383587
0.17,0.995784506098
0.18,0.987922252246
0.19,0.969471126866
0.2,0.931839734975
0.21,0.865281041311
0.22,0.763402585801
0.23,0.628723462735
0.24,0.475262471568
0.25,0.324831320389
0.26,0.198210417573
0.27,0.106859944471
0.28,0.0504716979604
0.29,0.0207414443132
0.3,0.00737467686314
0.31,0.00225805274254
0.32,0.0005930767496
0.33,0.00013317565317
0.34,2.54933244486e-05
0.35,4.14978613429e-06
0.36,5.73141662784e-07
0.37,6.70319270339e-08
0.38,6.62706380124e-09
0.39,5.52959117918e-10
0.4,3.88844398639e-11
0.41,2.30147013881e-12
0.42,1.14516281462e-13
0.43,4.78510070375e-15
0.44,1.67743164911e-16
0.45,4.92867203246e-18
0.46,1.21276507123e-19
0.47,2.49712351052e-21
0.48,4.2992752012e-23
0.49,6.18491777059e-25
0.5,7.4295051797e-27
0.51,7.44706463504e-29
0.52,6.22480514842e-31
0.53,4.33608713825e-33
0.54,2.51544031325e-35
0.55,1.21444501508e-37
0.56,4.87619797772e-40
0.57,1.62704624295e-42
0.58,4.50804839082e-45
0.59,1.03628175723e-47
0.6,1.97455723794e-50
0.61,3.11554266106e-53
0.62,4.06633314094e-56
0.63,4.3850099275e-59
0.64,3.90198821436e-62
0.65,2.86121994558e-65
0.66,1.7263072175e-68
0.67,8.5562687712e-72
0.68,3.47769513161e-75
0.69,1.15696753485e-78
0.7,3.14407725774e-82
0.71,6.96406832101e-86
0.72,1.2543521457e-89
0.73,1.83266442242e-93
0.74,2.16622518229e-97
0.75,2.06566479671e-101
0.76,1.58437155559e-105
0.77,9.74375358761e-110
0.78,4.78876533989e-114
0.79,1.87425542595e-118
0.8,5.82029837108e-123
0.81,1.42856195267e-127
0.82,2.76018864514e-132
0.83,4.18056386516e-137
0.84,4.94173815872e-142
0.85,4.5382386152e-147
0.86,3.22250086811e-152
0.87,1.76057103663e-157
