SNR (dB),P(fail)
0.0,1.0
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,1.0
0.08,0.999999999994
0.09,0.999999999933
0.1,0.99999999933
0.11,0.999999994005
0.12,0.999999952246
0.13,0.999999662211
0.14,0.999997882084
0.15,0.999988249024
0.16,0.999942390447
0.17,0.999750758687
0.18,0.999049350019
0.19,0.996805378364
0.2,0.990543381191
0.21,0.975331388785
0.22,0.94322523396
0.23,0.884463534846
0.24,0.791373404937
0.25,0.663952457282
0.26,0.513514795912
0.27,0.360572311377
0.28,0.226894286323
0.29,0.126598098841
0.3,0.0620977989687
0.31,0.0265935058409
0.32,0.00988800129535
0.33,0.00317765811142
0.34,0.0008793286683
0.35,0.000208877005532
0.36,4.24803141191e-05
0.37,7.38030168019e-06
0.38,1.09324725085e-06
0.39,1.37848374573e-07
0.4,1.47740224299e-08
0.41,1.344199533e-09
0.42,1.03709406733e-10
0.43,6.77862370181e-12
0.44,3.75027787397e-13
0.45,1.75491739887e-14
0.46,6.94114496296e-16
0.47,2.31914702129e-17
0.48,6.54208605885e-19
0.49,1.55734497445e-20
0.5,3.12709366334e-22
0.51,5.29424356658e-24
0.52,7.55442718175e-26
0.53,9.08165844603e-28
0.54,9.19444758467e-30
0.55,7.83626192761e-32
0.56,5.61994264947e-34
0.57,3.38998560656e-36
0.58,1.71906625561e-38
0.59,7.32453621831e-41
0.6,2.62058634066e-43
0.61,7.86784530938e-46
0.62,1.98073560985e-48
0.63,4.17779689258e-51
0.64,7.37587855591e-54
0.65,1.0888713402e-56
0.66,1.34257458652e-59
0.67,1.38086355018e-62
0.68,1.18307115051e-65
0.69,8.43061122138e-69
0.7,4.98857213996e-72
0.71,2.44670487376e-75
0.72,9.9272817261e-79
0.73,3.32515674145e-82
0.74,9.17379739107e-86
0.75,2.07967208217e-89
0.76,3.86396082145e-93
0.77,5.86779731631e-97
0.78,7.26210547016e-101
0.79,7.30235631009e-105
0.8,5.94663645083e-109
0.81,3.90849057031e-113
0.82,2.0659686646e-117
0.83,8.74961876629e-122
0.84,2.95736561863e-126
0.85,7.9450585928e-131
0.86,1.68933995926e-135
0.87,2.83036555322e-140
0.88,3.71943701326e-145
0.89,3.81549427417e-150
