SNR (dB),P(fail)
0.0,0.999379141299
0.01,0.998014766608
0.02,0.994280175286
0.03,0.985168097664
0.04,0.965409353335
0.05,0.927446009404
0.06,0.863010996234
0.07,0.766691288442
0.08,0.640269317933
0.09,0.495018642717
0.1,0.349381435499
0.11,0.222337927508
0.12,0.126215747825
0.13,0.0633304504128
0.14,0.0278661519405
0.15,0.0106786644251
0.16,0.00354234093073
0.17,0.00101163833514
0.18,0.000247490889637
0.19,5.16289218952e-05
0.2,9.14442315743e-06
0.21,1.36956014747e-06
0.22,1.72775696901e-07
0.23,1.82913013042e-08
0.24,1.61922808885e-09
0.25,1.19443643448e-10
0.26,7.31715787799e-12
0.27,3.71036578299e-13
0.28,1.55235287598e-14
0.29,5.34194074826e-16
0.3,1.50732395404e-17
0.31,3.47699180137e-19
0.32,6.53741108134e-21
0.33,9.98968908046e-23
0.34,1.23709571195e-24
0.35,1.23806013634e-26
0.36,9.98547754541e-29
0.37,6.47298307781e-31
0.38,3.36345403849e-33
0.39,1.397218573e-35
0.4,4.62815095692e-38
0.41,1.21925317154e-40
0.42,2.54807976043e-43
0.43,4.21369537513e-46
0.44,5.49982826015e-49
0.45,5.65171532612e-52
0.46,4.56108189827e-55
0.47,2.88351775623e-58
0.48,1.42446573048e-61
0.49,5.48475573474e-65
0.5,1.64183912313e-68
0.51,3.81111189055e-72
0.52,6.84202579091e-76
0.53,9.47490083393e-80
0.54,1.00935526863e-83
0.55,8.24876805285e-88
0.56,5.1567504833e-92
0.57,2.45888263379e-96
0.58,8.91598526718e-101
0.59,2.45089478748e-105
0.6,5.09111131543e-110
0.61,7.96513263969e-115
0.62,9.35347789703e-120
0.63,8.21492681946e-125
0.64,5.37620000185e-130
0.65,2.61165188971e-135
0.66,9.37957534661e-141
0.67,2.48009558778e-146
0.68,4.80713799345e-152
0.69,6.79949045866e-158
0.7,6.98548520693e-164
0.71,5.18708463517e-170
0.72,2.76979336823e-176
0.73,1.05796546381e-182
0.74,2.87480354775e-189
0.75,5.52557292681e-196
0.76,7.46799679095e-203
0.77,7.0537020161e-210
0.78,4.62643245277e-217
0.79,2.09324997869e-224
0.8,6.48887395296e-232
0.81,1.3684060252e-239
0.82,1.94556827307e-247
0.83,0.0
0.84,0.0
0.85,0.0
0.86,0.0
0.87,0.0
0.88,0.0
0.89,0.0
0.9,0.0
0.91,0.0
0.92,0.0
0.93,0.0
0.94,0.0
0.95,0.0
0.96,0.0
0.97,0.0
0.98,0.0
0.99,0.0
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
