SNR (dB),P(fail)
0.0,1.0
0.1,0.99999999933
0.2,0.990543381191
0.3,0.0620977989687
0.4,1.47740224299e-08
0.5,3.12709366334e-22
0.6,2.62058634066e-43
0.7,4.98857213999e-72
0.8,5.94663645063e-109
0.9,3.04031837978e-155
1.0,8.66720109245e-213
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
