SNR (dB),P(fail)
0.0,1.0
0.1,0.999999996378
0.2,0.980270289165
0.3,0.0328735210546
0.4,2.21599560404e-09
0.5,9.78032235579e-24
0.6,1.20469069244e-45
0.7,2.16103710941e-75
0.8,1.3847188502e-113
0.9,1.88914400102e-161
1.0,6.02214540778e-221
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
