SNR (dB),P(fail)
0.0,1.0
0.1,0.999998644943
0.2,0.82310891271
0.3,0.00123086885336
0.4,4.94836079569e-13
0.5,4.07399226707e-30
0.6,2.33298533725e-55
0.7,3.29584736718e-89
0.8,1.7624147416e-132
0.9,1.21896638696e-186
1.0,6.07541534903e-254
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
