SNR (dB),P(fail)
0.0,0.999999999925
0.1,0.997668552173
0.2,0.160529428553
0.3,2.41721365252e-07
0.4,1.06126853992e-20
0.5,1.41620131522e-42
0.6,1.18161244037e-73
0.7,1.09512662874e-114
0.8,7.57963251287e-167
0.9,5.04811171926e-232
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
