SNR (dB),P(fail)
0.0,1.0
0.1,0.999999652463
0.2,0.886395525927
0.3,0.00312576246988
0.4,4.56298248016e-12
0.5,1.81068383458e-28
0.6,7.06498926118e-53
0.7,1.05967836408e-85
0.8,1.05433311539e-127
0.9,2.73288972726e-180
1.0,1.21809953645e-245
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
