SNR (dB),P(fail)
0.0,0.999999999606
0.1,0.994881803222
0.2,0.103610661674
0.3,5.39865017646e-08
0.4,6.38231347814e-22
0.5,1.75797738891e-44
0.6,2.1490844129e-76
0.7,1.87489600763e-118
0.8,6.97295739032e-172
0.9,1.23913080452e-238
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
