SNR (dB),P(fail)
0.0,0.999988675698
0.01,0.999949674057
0.02,0.999798547638
0.03,0.99927503575
0.04,0.99765852129
0.05,0.993222103564
0.06,0.982432302805
0.07,0.959245162482
0.08,0.915346085748
0.09,0.842340262976
0.1,0.73600639336
0.11,0.600763267962
0.12,0.450999825256
0.13,0.307033173679
0.14,0.187247883239
0.15,0.101237099218
0.16,0.0480953920167
0.17,0.0199258133938
0.18,0.00715198866072
0.19,0.00221120375431
0.2,0.000585842789114
0.21,0.000132388349966
0.22,2.54075510917e-05
0.23,4.12455181212e-06
0.24,5.6422427668e-07
0.25,6.48086292633e-08
0.26,6.22925085908e-09
0.27,4.99386503031e-10
0.28,3.32861817319e-11
0.29,1.83904118135e-12
0.3,8.39719699456e-14
0.31,3.15969323656e-15
0.32,9.77033610303e-17
0.33,2.4759726344e-18
0.34,5.12862435181e-20
0.35,8.66061740448e-22
0.36,1.18929435951e-23
0.37,1.32478603423e-25
0.38,1.19416226626e-27
0.39,8.68976061689e-30
0.4,5.09287868561e-32
0.41,2.39845060482e-34
0.42,9.05577835385e-37
0.43,2.73512172644e-39
0.44,6.59359391969e-42
0.45,1.26592893464e-44
0.46,1.9314818092e-47
0.47,2.33680060554e-50
0.48,2.23695991688e-53
0.49,1.69064835788e-56
0.5,1.00659345418e-59
0.51,4.71084455158e-63
0.52,1.72907172795e-66
0.53,4.96599899276e-70
0.54,1.11344810051e-73
0.55,1.94433140624e-77
0.56,2.63783685592e-81
0.57,2.77340069528e-85
0.58,2.25392573725e-89
0.59,1.41210116831e-93
0.6,6.80120751992e-98
0.61,2.51101349785e-102
0.62,7.08522950932e-107
0.63,1.52316244715e-111
0.64,2.48664849436e-116
0.65,3.07245987925e-121
0.66,2.86302630931e-126
0.67,2.00460107086e-131
0.68,1.05055705375e-136
0.69,4.10442450281e-142
0.7,1.19042252021e-147
0.71,2.55189141385e-153
0.72,4.0248480095e-159
0.73,4.64828466923e-165
0.74,3.91142472017e-171
0.75,2.38578124659e-177
0.76,1.04916382879e-183
0.77,3.30783753151e-190
0.78,7.43378671712e-197
0.79,1.18364688132e-203
0.8,1.32697921372e-210
0.81,1.04068919717e-217
0.82,5.67123941212e-225
0.83,2.13264558179e-232
0.84,5.49445252663e-240
0.85,9.62774503059e-248
0.86,0.0
0.87,0.0
0.88,0.0
0.89,0.0
0.9,0.0
0.91,0.0
0.92,0.0
0.93,0.0
0.94,0.0
0.95,0.0
0.96,0.0
0.97,0.0
0.98,0.0
0.99,0.0
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
