SNR (dB),P(fail)
0.0,0.993364149681
0.01,0.983309899862
0.02,0.962100577424
0.03,0.922306214366
0.04,0.856098344607
0.05,0.758720961608
0.06,0.632501520508
0.07,0.488765355021
0.08,0.345407055069
0.09,0.22057217982
0.1,0.125961701909
0.11,0.0637514613756
0.12,0.0283738249198
0.13,0.0110293389634
0.14,0.0037216812426
0.15,0.00108416420681
0.16,0.000271282817953
0.17,5.80335922685e-05
0.18,1.05668544009e-05
0.19,1.63078242542e-06
0.2,2.12462567033e-07
0.21,2.32766320675e-08
0.22,2.13637242691e-09
0.23,1.63668561229e-10
0.24,1.04288380912e-11
0.25,5.50774333984e-13
0.26,2.402667188e-14
0.27,8.62855890443e-16
0.28,2.54258551075e-17
0.29,6.12769362587e-19
0.3,1.20397202573e-20
0.31,1.92250859061e-22
0.32,2.48718031389e-24
0.33,2.59900304668e-26
0.34,2.18704751992e-28
0.35,1.47764432024e-30
0.36,7.99219655883e-33
0.37,3.45053262136e-35
0.38,1.18572160577e-37
0.39,3.23386025896e-40
0.4,6.98036299803e-43
0.41,1.1891559216e-45
0.42,1.59439970573e-48
0.43,1.67784837487e-51
0.44,1.38200217954e-54
0.45,8.88526516397e-58
0.46,4.44674504921e-61
0.47,1.72753014775e-64
0.48,5.19536661759e-68
0.49,1.20614876372e-71
0.5,2.1555345635e-75
0.51,2.95691685767e-79
0.52,3.10452947958e-83
0.53,2.48740298041e-87
0.54,1.51630451023e-91
0.55,7.01107066511e-96
0.56,2.45118144001e-100
0.57,6.45891283893e-105
0.58,1.27848667421e-109
0.59,1.89453347371e-114
0.6,2.09433826796e-119
0.61,1.72086935506e-124
0.62,1.04705300369e-129
0.63,4.69908892654e-135
0.64,1.54926290806e-140
0.65,3.73662377991e-146
0.66,6.56422303269e-152
0.67,8.36124761296e-158
0.68,7.68600437367e-164
0.69,5.07400231785e-170
0.7,2.39341261187e-176
0.71,8.02439939228e-183
0.72,1.90177321353e-189
0.73,3.16802581943e-196
0.74,3.68758432358e-203
0.75,2.98100340734e-210
0.76,1.66301651266e-217
0.77,6.36049237544e-225
0.78,1.65649336917e-232
0.79,2.91698674904e-240
0.8,3.5047372173e-248
0.81,0.0
0.82,0.0
0.83,0.0
0.84,0.0
0.85,0.0
0.86,0.0
0.87,0.0
0.88,0.0
0.89,0.0
0.9,0.0
0.91,0.0
0.92,0.0
0.93,0.0
0.94,0.0
0.95,0.0
0.96,0.0
0.97,0.0
0.98,0.0
0.99,0.0
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
