SNR (dB),P(fail)
0.0,1.0
0.01,1.0
0.02,1.0
0.03,1.0
0.04,0.999999999996
0.05,0.999999999957
0.06,0.999999999577
0.07,0.999999996231
0.08,0.999999969947
0.09,0.999999786161
0.1,0.999998644943
0.11,0.999992367909
0.12,0.999961862057
0.13,0.999831192016
0.14,0.999339077904
0.15,0.997713538512
0.16,0.993015361944
0.17,0.981162207381
0.18,0.955118709302
0.19,0.905398866008
0.2,0.82310891271
0.21,0.705296726262
0.22,0.559711054686
0.23,0.404754296516
0.24,0.262990659427
0.25,0.151740204931
0.26,0.0769984273119
0.27,0.03409279743
0.28,0.0130868642324
0.29,0.00433183282389
0.3,0.00123086885336
0.31,0.000299077332777
0.32,6.19353760347e-05
0.33,1.08995211458e-05
0.34,1.62578264084e-06
0.35,2.05066352678e-07
0.36,2.18268677136e-08
0.37,1.95670113587e-09
0.38,1.47480865859e-10
0.39,9.33101082446e-12
0.4,4.94836079569e-13
0.41,2.19654037937e-14
0.42,8.15098176201e-16
0.43,2.52556533477e-17
0.44,6.52684359626e-19
0.45,1.40536914819e-20
0.46,2.51878860256e-22
0.47,3.75404547068e-24
0.48,4.64861284803e-26
0.49,4.77843999593e-28
0.5,4.07399226707e-30
0.51,2.87848288486e-32
0.52,1.68405541609e-34
0.53,8.15147398787e-37
0.54,3.26162953915e-39
0.55,1.07788743727e-41
0.56,2.93940842127e-44
0.57,6.60820468194e-47
0.58,1.2235202027e-49
0.59,1.86373330433e-52
0.6,2.33298533725e-55
0.61,2.39702420947e-58
0.62,2.01884786775e-61
0.63,1.39188204285e-64
0.64,7.84369187178e-68
0.65,3.60712056539e-71
0.66,1.35136753056e-74
0.67,4.11674837527e-78
0.68,1.01774789991e-81
0.69,2.03754435828e-85
0.7,3.29584736715e-89
0.71,4.29700977083e-93
0.72,4.50383598624e-97
0.73,3.7846279312e-101
0.74,2.54228082852e-105
0.75,1.36095939762e-109
0.76,5.78728177422e-114
0.77,1.94814855878e-118
0.78,5.17273574312e-123
0.79,1.07925435625e-127
0.8,1.76241474168e-132
0.81,2.24320541435e-137
0.82,2.21575757651e-142
0.83,1.69084089252e-147
0.84,9.92120876059e-153
0.85,4.45431087311e-158
0.86,1.52244534893e-163
0.87,3.94055564233e-169
