SNR (dB),P(fail)
0.0,1.0
0.01,1.0
0.02,1.0
0.03,1.0
0.04,0.999999999999
0.05,0.999999999993
0.06,0.999999999925
0.07,0.999999999264
0.08,0.999999993579
0.09,0.999999949957
0.1,0.999999652463
0.11,0.999997853671
0.12,0.999988234438
0.13,0.99994285172
0.14,0.999754409889
0.15,0.999067405317
0.16,0.996873539026
0.17,0.990751210837
0.18,0.975854763136
0.19,0.944324380108
0.2,0.886395525927
0.21,0.794215374166
0.22,0.667440245339
0.23,0.517062769003
0.24,0.363529371866
0.25,0.228870324434
0.26,0.127608721563
0.27,0.0624431936683
0.28,0.026619855248
0.29,0.00982699147922
0.3,0.00312576246988
0.31,0.000853069183944
0.32,0.000199042930552
0.33,3.9581840071e-05
0.34,6.69040771932e-06
0.35,9.58900042933e-07
0.36,1.1628588787e-07
0.37,1.19090213586e-08
0.38,1.02816432562e-09
0.39,7.47131092073e-11
0.4,4.56298248016e-12
0.41,2.3390552178e-13
0.42,1.00517023849e-14
0.43,3.61704909395e-16
0.44,1.08875073596e-17
0.45,2.73864927516e-19
0.46,5.75148031236e-21
0.47,1.00758607022e-22
0.48,1.47125074478e-24
0.49,1.78916644689e-26
0.5,1.81068383458e-28
0.51,1.52383364117e-30
0.52,1.06564783875e-32
0.53,6.18796989615e-35
0.54,2.98135056836e-37
0.55,1.19088872163e-39
0.56,3.94069039064e-42
0.57,1.07931668129e-44
0.58,2.44462368899e-47
0.59,4.57454002196e-50
0.6,7.06498926118e-53
0.61,8.99554149478e-56
0.62,9.43150007699e-59
0.63,8.13236613571e-62
0.64,5.75885676865e-65
0.65,3.34419305896e-68
0.66,1.58994931822e-71
0.67,6.17815436177e-75
0.68,1.95842494441e-78
0.69,5.05424975318e-82
0.7,1.05967836408e-85
0.71,1.80077640613e-89
0.72,2.47427057315e-93
0.73,2.74157527785e-97
0.74,2.44293265749e-101
0.75,1.74542492193e-105
0.76,9.96816317727e-110
0.77,4.53548830408e-114
0.78,1.63840885346e-118
0.79,4.68195337842e-123
0.8,1.05433311543e-127
0.81,1.86352640193e-132
0.82,2.57443701911e-137
0.83,2.76771145343e-142
0.84,2.30501828149e-147
0.85,1.48008384014e-152
0.86,7.29155102779e-158
0.87,2.74194145934e-163
